Krkonoše, pohoří
Jizerské hory, pohoří
Smrk, hora
Krušné hory, pohoří
Český les, pohoří
Šumava, pohoří
Moravskoslezské Beskydy, pohoří
Hrubý Jeseník, pohoří
Králický Sněžník, pohoří
Českomoravská vrchovina, vrchovina
